Company Name,Job Title,Location,Experience,Job URL,Job Description
"Tothr (A leading IT company in Kochi)","Manual and Automation Test Engineer","Kochi","1-4 Years","https://www.naukri.com/job-listings-manual-and-automation-test-engineer-tothr-kochi-1-to-4-years-250726008445","We are seeking dynamic Manual and Automation Test engineer with 1+ years of experience in Manual and Automation. Role: Test Analyst. Industry Type: IT Services & Consulting. Department: Engineering - Software & QA. Employment Type: Full Time, Permanent. Role Category: Quality Assurance and Testing. Education: B.Tech/B.E in Any Specialization. Key Skills: Manual and Automation Testing, Automation Testing, Manual Testing."
"Diverse Lynx","Manual & Automation Test Engineer (Airline)","Bengaluru","1-5 Years (JD states 6-8 yrs)","https://www.naukri.com/job-listings-manual-automation-test-engineer-airline-diverse-lynx-bengaluru-1-to-5-years-050826504681","Exp- 6 to 9 yrs, CTC- 17 lac, Location: Hyderabad, NP- Immediate to 15 Days. Person with 6 to 8 years of Manual and Automation Software testing experience, 3 years experience with airline domain system testing. Person should have experience in Agile methodology and Scrum Framework. Excellent written and verbal communication skills. Good interpersonal skills and ability to work collaboratively with cross functional teams. Proficient in planning, writing, and executing test specifications. Responsibilities: Write test cases to ensure adequate coverage for fixes and regression-free deliverables, Execute test plan and publish periodical reports, Participate in integration, regression and system testing as needed, Identify and adopt new testing methodologies and best practices to improve test coverage. Knowledge on Altea DCS is an added advantage. Role: Automation Test Engineer. Industry Type: IT Services & Consulting. Department: Engineering - Software & QA. Key Skills: automation, software testing, regression, system testing, test cases, scrum, testing methodologies, agile, airline, agile methodology, communication skills."
"Kodehash Technologies","Automation and Manual Tester","Gurugram","2-4 Years","https://www.naukri.com/job-listings-automation-and-manual-tester-kodehash-technologies-pvt-ltd-gurugram-2-to-4-years-190124502049","We are looking for a QA Tester to assess software quality through manual and automated testing. Responsible for finding and reporting bugs and glitches. Candidate should have a keen eye for detail and excellent communication skills. Competent in executing test cases and passionate about quality. Review and analyze system specifications. Collaborate with team to develop effective strategies, test plans and test cases. Convert manual test cases/requirements to automated test workflows to ensure maximum test coverage. Execute test cases (manual or automated) and analyze results. Report issues and ensure closure in cloud JIRA. Work with cross-functional teams to ensure quality throughout the software development lifecycle. Must have experience working in Agile (Scrum) methodology and Cloud JIRA (Xray Test management). Role: Quality Assurance and Testing - Other. Industry Type: IT Services & Consulting. Key Skills: Automation, Test case execution, Automation testing, Manual testing, Agile scrum, Test management, SDLC, Bug reporting, software quality, JIRA."
"India Insure Risk Management Insurance Broking Services","Software Tester (Manual & Automation Testing)","Hyderabad","3-6 Years","https://www.naukri.com/job-listings-software-tester-manual-automation-testing-india-insure-risk-management-insurance-broking-s-hyderabad-3-to-6-years-241224504282","Manual Testing: Design, develop, and execute manual test cases for web, mobile, and desktop applications. Identify, document, and track defects using defect management tools. Perform functional, regression, integration, and system testing. Verify application behavior, performance, and usability. Collaborate with business analysts and developers to ensure comprehensive test coverage. Automation Testing: Develop and maintain automated test scripts for functional and regression testing. Use automation testing tools like Selenium, TestNG, JUnit, or others to enhance test coverage and efficiency. Execute and monitor automated test scripts, analyze test results, and report findings. Integrate automated tests with CI/CD pipelines for continuous testing. Maintain and update automation framework and scripts as needed. Collaboration & Documentation: Work closely with development teams to understand requirements, identify test scenarios, and provide feedback on product quality. Review product requirements and technical documentation to create clear and concise test cases. Prepare and maintain test documentation including test cases, test data, and execution reports. Provide regular updates on testing progress and defect status. Continuous Improvement: Evaluate and recommend new testing tools, technologies, and best practices. Educational Qualifications: Bachelor's degree in Computer Science, Engineering, Information Technology, or related field."
"Cloud Quantum","Manual / Automation Testing Expert","Bengaluru","2-5 Years","https://www.naukri.com/job-listings-manual-automation-testing-expert-cloud-quantum-bengaluru-2-to-5-years-170226504394","Design and develop automated tests using various tools and technologies. Collaborate with cross-functional teams to identify and prioritize testing requirements. Develop and maintain comprehensive test plans and cases. Execute manual and automated tests to ensure high-quality software delivery. Analyze test results and report defects to the development team. Continuously improve testing processes and procedures. Role: Automation Test Engineer. Industry Type: IT Services & Consulting. Department: Engineering - Software & QA. Education: Any Graduate / Any Postgraduate. Key Skills: Automation testing, teamwork, time management, collaboration, leadership, Manual, adaptability, problem-solving, Communication."
"Clifyx Technology","Manual and Automation Testing Professional","Bengaluru","2-6 Years (JD indicates 5+ yrs)","https://www.naukri.com/job-listings-manual-and-automation-testing-professional-clifyx-technology-bengaluru-2-to-6-years-230626501425","2-6 years of experience in manual and automation testing. Understanding of Capital Markets domain and exposure to testing on Fidessa/Sophis/Client/Sophis etc. Experience in Capital Markets, Banking, or Financial services domain. Exposure to message queuing systems (e.g., Kafka, RabbitMQ) is a plus. Familiarity with cloud platforms like Microsoft Azure is an advantage. Country: India. Number of Openings: 5. Duration of contract: 12 months. Total Yrs. of Experience: 5+ Years. Overall 5+ years of automation testing experience in Fidessa, Sophis, Raptor FIX hub, Client suite of products. Shift Time: 1pm to 10pm. Business travel required: No. Certification (Mandatory): As per JD."
"Neosao Services","Software Tester (Manual & Automation)","Kolhapur","2-4 Years","https://www.naukri.com/job-listings-software-tester-manual-automation-neosao-services-pvt-ltd-kolhapur-2-to-4-years-050826501950","Develop and execute comprehensive test plans for software applications. Identify and report defects, working closely with the development team to resolve issues. Collaborate with cross-functional teams to ensure timely delivery of high-quality products. Design and implement automated tests using various tools and technologies. Analyze test results, identify trends, and recommend process improvements. Participate in agile development methodologies, providing feedback and input on product quality. Role: Manual Test Engineer. Industry Type: IT Services & Consulting. Department: Engineering - Software & QA. Education: Any Graduate/Any Postgraduate. Key Skills: automation, appium, selenium, software testing, product quality, automation testing, android, manual and automation testing, agile, agile development, mobile app, communication skills."
"Teamware Solutions","Manual and Automation Test Engineer","Noida, Greater Noida","3-6 Years","https://www.naukri.com/job-listings-manual-and-automation-test-engineer-teamware-solutions-noida-greater-noida-3-to-6-years-110826009136","Roles and Responsibilities: Deliver the product release with highest quality. Creation of test plan, test cases, testing optimization strategy. Executing automated and manual test cases. Review, manage and enter clear, reproducible bug reports. Status reporting and creating success metrics (test cases, bugs, productivity). Split: Manual (60%) + Automation (40%). Skills: Graduate in Comp Science or related field. Good understanding of scripting language (JavaScript/Pearl/Python/Ruby) or programming language (C/C++/Java). Experience of 3 to 6 years in software quality or testing. Experience of any automation tool like Selenium is added advantage. Experience in testing Desktop, mobile and Web applications - both front end and backend. Strong technical background, experience in writing and executing test cases. Experience in leading a small team and product quality is an added advantage. Knowledge of any foreign language is an added advantage. Strong organizational, analytical, problem-solving, and time management skills. Ability to multitask in a fast-paced, challenging environment. Ability to work independently and meet deadlines. Strong written and oral communication skills."
"Myusit Jobs Private Limited (Leading Client)","Manual & Automation Tester","Nellore","2-6 Years","https://www.naukri.com/job-listings-manual-automation-tester-myusit-jobs-private-limited-nellore-2-to-6-years-030826912813","Location: Nellore (Work From Office) - Night Shifts with Sat and Sunday Fixed off. Employment Type: Full-Time. Job Summary: We are looking for a Manual & Automation Tester with experience in both manual testing and test automation. The ideal candidate should have strong knowledge of software testing methodologies, API testing, automation frameworks, and defect management while ensuring the delivery of high-quality software. Key Responsibilities: Analyze business and functional requirements to prepare comprehensive test plans and test cases. Perform manual functional, regression, integration, smoke, and sanity testing. Develop, maintain, and execute automation test scripts using tools such as Selenium, Playwright, Cypress, or similar. Perform REST API testing using Postman, Swagger, Rest Assured, or similar tools. Identify, document, track, and verify software defects using Jira, Azure DevOps, or similar tools. Collaborate with developers, business analysts, and product owners to resolve issues. Participate in Agile ceremonies including sprint planning, daily stand-ups, and retrospectives. Execute regression test suites before production releases. Prepare test reports and communicate testing progress and quality metrics. Continuously improve test coverage and automation frameworks. Required Skills: 2-6 years of experience in Manual and Automation Testing. Strong understanding of SDLC and STLC. Hands-on experience with Selenium WebDriver, Playwright, or Cypress. Programming knowledge in Java, Python, JavaScript, or TypeScript. Experience with REST API Testing using Postman, Rest Assured, or Swagger."
"Doqfy","Software Product Tester (Manual and Automation)","Bengaluru","2-5 Years","https://www.naukri.com/job-listings-software-product-tester-manual-and-automation-doqfy-bengaluru-2-to-5-years-110325501094","We are currently seeking a highly skilled and motivated Software Product Tester to join our dynamic team. As a Software Product Tester, you will play a crucial role in ensuring the quality and reliability of our software product. The ideal candidate should have a strong background in manual testing methodologies, possess a keen eye for detail, and be well-versed in test automation techniques. Responsibilities: Conduct thorough manual testing of our software product to identify and document defects, bugs, and performance issues. Develop comprehensive test plans, test cases, and test scripts based on product requirements and specifications. Execute test cases and analyse results to validate the functionality, usability, and performance of the software. Collaborate with the development team to understand product features and provide early feedback on potential issues. Work closely with cross-functional teams to ensure timely delivery of high-quality software. Develop and maintain automated test scripts using industry-standard automation tools. Continuously improve testing processes and methodologies to enhance product quality and testing efficiency. Participate in the identification and implementation of test automation frameworks and strategies. Provide clear and concise reports on testing progress, test results, and overall product quality. Requirements: Proven experience as a Software Product Tester or similar role in manual testing of web or desktop applications. Strong understanding of software testing concepts, methodologies, and best practices. Experience in creating comprehensive test plans, test cases, and test scripts."
